ingredient_id,molecule_id
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,128
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,129
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,131
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,132
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,134
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,154
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,156
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,174
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,192
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,202
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,203
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,250
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,292
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,295
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,345
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,351
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,391
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,400
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,403
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,412
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,433
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,447
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,453
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,498
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,515
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,522
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,552
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,566
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,602
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,641
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,690
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,763
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,802
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,825
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,847
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,909
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,972
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1049
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1085
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1143
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1228
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1230
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1231
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1232
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1238
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1239
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1257
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1259
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1360
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1363
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1366
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1369
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1373
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1379
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1393
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1396
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1398
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1403
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1411
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1446
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1447
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1450
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1451
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1454
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1480
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1505
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1507
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1511
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1516
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1581
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1608
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,1633
02a48475-7aaa-49ce-ae7f-0a747d430c69,81
02a48475-7aaa-49ce-ae7f-0a747d430c69,1398
02c4070c-b89f-4368-863c-0cae0128191a,5
02c4070c-b89f-4368-863c-0cae0128191a,6
